file	line	anchor	info	status	wrap	v26	v27	vsim27	v27on26	vsim27on26	err_line	first_error
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1682	81-the-surface	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1703	81-the-surface	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1728	82-reading-values	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1742	83-generatedcontentparsingerror-as-a-first-class-signal	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1758	83-generatedcontentparsingerror-as-a-first-class-signal	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1799	91-respond-vs-streamresponse-exactly	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1863	92-tpartiallygenerated	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1868	92-tpartiallygenerated	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1897	93-responsestream-snapshot-and-response	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1919	93-responsestream-snapshot-and-response	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1943	93-responsestream-snapshot-and-response	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1988	94-a-streaming-view-that-compiles	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	2078	94-a-streaming-view-that-compiles	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	2119	96-️-a-stream-can-finish-having-yielded-zero-snapshots	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	2140	96-️-a-stream-can-finish-having-yielded-zero-snapshots	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	2270	102-the-precondition--and-the-silent-failure-if-you-break-it	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	2331	111-the-three-error-ladder	compile:27 imports:FoundationModels	VERIFIED	body	-	pass	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	2368	111-the-three-error-ladder	compile:27 imports:FoundationModels	VERIFIED	top	-	pass	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	2449	113-permissivecontenttransformations-and-generable-a-contested-claim	compile:27 imports:FoundationModels	VERIFIED	body	-	pass	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	2462	113-permissivecontenttransformations-and-generable-a-contested-claim	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	2497	114-determinism-when-you-are-testing-structured-output	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/03-tools-and-tool-calling.md	188	the-canonical-conformance	compile:27	VERIFIED	top	-	pass	-	-	-	-	-
part-02-foundation-models-everyday-api/references/03-tools-and-tool-calling.md	213	the-canonical-conformance	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/03-tools-and-tool-calling.md	330	structs-classes-and-state	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/03-tools-and-tool-calling.md	338	structs-classes-and-state	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/03-tools-and-tool-calling.md	391	toolsessionproperty--reading-shared-session-state-from-inside-a-tool	compile:27 imports:FoundationModels	VERIFIED	top	-	pass	-	-	-	-	-
part-02-foundation-models-everyday-api/references/03-tools-and-tool-calling.md	468	31-optional-arguments-let-the-model-choose-which-filters-to-apply	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/03-tools-and-tool-calling.md	506	31-optional-arguments-let-the-model-choose-which-filters-to-apply	compile:27	VERIFIED	top	-	pass	-	-	-	-	-
part-02-foundation-models-everyday-api/references/03-tools-and-tool-calling.md	561	32-runtime-schemas-and-the-trap-under-them	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/03-tools-and-tool-calling.md	598	32-runtime-schemas-and-the-trap-under-them	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/03-tools-and-tool-calling.md	695	41-a-good-description-says-when-not-what	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/03-tools-and-tool-calling.md	729	42-the-description-is-not-enough--you-must-also-instruct	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/03-tools-and-tool-calling.md	750	42-the-description-is-not-enough--you-must-also-instruct	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/03-tools-and-tool-calling.md	779	42-the-description-is-not-enough--you-must-also-instruct	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/03-tools-and-tool-calling.md	872	52-the-four-tool-shaped-types	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/03-tools-and-tool-calling.md	981	54-rendering-it	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
